sale_id,Product,quantity_sold,each_price,sale_date,Purchase Address,sales,day,month,year
176581,iPhone,1.0,700.0,2019-04-09 21:38:00,"84 Jackson St, Boston, MA 02215",700.0,9.0,4.0,2019.0
176582,Bose SoundSport Headphones,1.0,99.99,2019-04-27 12:20:00,"178 Lincoln St, Atlanta, GA 30301",99.99,27.0,4.0,2019.0
176583,AAA Batteries (4-pack),2.0,2.99,2019-04-20 12:00:00,"146 Jackson St, Portland, OR 97035",5.98,20.0,4.0,2019.0
176584,Flatscreen TV,1.0,300.0,2019-04-24 20:39:00,"936 Church St, San Francisco, CA 94016",300.0,24.0,4.0,2019.0
176585,Bose SoundSport Headphones,1.0,99.99,2019-04-07 11:31:00,"823 Highland St, Boston, MA 02215",99.99,7.0,4.0,2019.0
176585,Bose SoundSport Headphones,1.0,99.99,2019-04-07 11:31:00,"823 Highland St, Boston, MA 02215",99.99,7.0,4.0,2019.0
176586,AAA Batteries (4-pack),2.0,2.99,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",5.98,10.0,4.0,2019.0
176586,Google Phone,1.0,600.0,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",600.0,10.0,4.0,2019.0
176587,27in FHD Monitor,1.0,149.99,2019-04-29 19:38:00,"557 5th St, Los Angeles, CA 90001",149.99,29.0,4.0,2019.0
176588,20in Monitor,1.0,109.99,2019-04-02 04:00:00,"765 Cherry St, Seattle, WA 98101",109.99,2.0,4.0,2019.0
176589,Lightning Charging Cable,1.0,14.95,2019-04-04 12:23:00,"846 Highland St, Atlanta, GA 30301",14.95,4.0,4.0,2019.0
176590,Google Phone,1.0,600.0,2019-04-11 11:46:00,"873 6th St, New York City, NY 10001",600.0,11.0,4.0,2019.0
176591,Apple Airpods Headphones,1.0,150.0,2019-04-21 07:21:00,"600 Maple St, Austin, TX 73301",150.0,21.0,4.0,2019.0
176592,USB-C Charging Cable,1.0,11.95,2019-04-27 13:04:00,"352 4th St, Los Angeles, CA 90001",11.95,27.0,4.0,2019.0
176593,Lightning Charging Cable,2.0,14.95,2019-04-15 13:45:00,"906 7th St, Portland, OR 97035",29.9,15.0,4.0,2019.0
176594,Wired Headphones,1.0,11.99,2019-04-17 23:04:00,"63 Maple St, San Francisco, CA 94016",11.99,17.0,4.0,2019.0
176595,Wired Headphones,3.0,11.99,2019-04-02 09:11:00,"383 6th St, Los Angeles, CA 90001",35.97,2.0,4.0,2019.0
176596,Apple Airpods Headphones,1.0,150.0,2019-04-27 20:11:00,"572 Meadow St, Dallas, TX 75001",150.0,27.0,4.0,2019.0
176597,USB-C Charging Cable,1.0,11.95,2019-04-19 13:39:00,"681 11th St, San Francisco, CA 94016",11.95,19.0,4.0,2019.0
176598,AAA Batteries (4-pack),2.0,2.99,2019-04-21 20:33:00,"294 Park St, San Francisco, CA 94016",5.98,21.0,4.0,2019.0
176599,Lightning Charging Cable,1.0,14.95,2019-04-11 15:25:00,"279 Maple St, New York City, NY 10001",14.95,11.0,4.0,2019.0
176600,27in 4K Gaming Monitor,1.0,389.99,2019-04-30 15:54:00,"87 West St, Boston, MA 02215",389.99,30.0,4.0,2019.0
176601,USB-C Charging Cable,1.0,11.95,2019-04-02 22:32:00,"754 10th St, Los Angeles, CA 90001",11.95,2.0,4.0,2019.0
176602,Lightning Charging Cable,1.0,14.95,2019-04-30 09:39:00,"9 Jefferson St, Dallas, TX 75001",14.95,30.0,4.0,2019.0
176603,USB-C Charging Cable,1.0,11.95,2019-04-01 07:46:00,"858 6th St, San Francisco, CA 94016",11.95,1.0,4.0,2019.0
176604,USB-C Charging Cable,1.0,11.95,2019-04-02 10:57:00,"462 11th St, San Francisco, CA 94016",11.95,2.0,4.0,2019.0
176605,USB-C Charging Cable,1.0,11.95,2019-04-15 16:29:00,"717 Pine St, San Francisco, CA 94016",11.95,15.0,4.0,2019.0
176606,LG Dryer,1.0,600.0,2019-04-21 14:16:00,"487 Maple St, San Francisco, CA 94016",600.0,21.0,4.0,2019.0
176607,AAA Batteries (4-pack),2.0,2.99,2019-04-18 12:11:00,"689 10th St, Boston, MA 02215",5.98,18.0,4.0,2019.0
176608,iPhone,1.0,700.0,2019-04-11 12:01:00,"15 Cherry St, San Francisco, CA 94016",700.0,11.0,4.0,2019.0
176609,Apple Airpods Headphones,1.0,150.0,2019-04-11 16:59:00,"267 11th St, Austin, TX 73301",150.0,11.0,4.0,2019.0
176610,AAA Batteries (4-pack),1.0,2.99,2019-04-26 00:40:00,"382 River St, Dallas, TX 75001",2.99,26.0,4.0,2019.0
176611,Bose SoundSport Headphones,1.0,99.99,2019-04-30 13:16:00,"971 Sunset St, San Francisco, CA 94016",99.99,30.0,4.0,2019.0
176612,Apple Airpods Headphones,1.0,150.0,2019-04-04 19:48:00,"149 North St, Seattle, WA 98101",150.0,4.0,4.0,2019.0
176613,USB-C Charging Cable,2.0,11.95,2019-04-26 18:58:00,"405 4th St, New York City, NY 10001",23.9,26.0,4.0,2019.0
176614,AA Batteries (4-pack),1.0,3.84,2019-04-07 21:01:00,"647 Jackson St, San Francisco, CA 94016",3.84,7.0,4.0,2019.0
176615,Lightning Charging Cable,1.0,14.95,2019-04-30 10:35:00,"833 River St, Dallas, TX 75001",14.95,30.0,4.0,2019.0
176616,USB-C Charging Cable,1.0,11.95,2019-04-05 20:40:00,"380 Washington St, San Francisco, CA 94016",11.95,5.0,4.0,2019.0
176617,Apple Airpods Headphones,1.0,150.0,2019-04-25 08:03:00,"319 8th St, Portland, OR 97035",150.0,25.0,4.0,2019.0
176618,Lightning Charging Cable,2.0,14.95,2019-04-18 21:44:00,"273 South St, San Francisco, CA 94016",29.9,18.0,4.0,2019.0
176619,Flatscreen TV,1.0,300.0,2019-04-16 18:37:00,"116 North St, Los Angeles, CA 90001",300.0,16.0,4.0,2019.0
176620,USB-C Charging Cable,1.0,11.95,2019-04-17 10:39:00,"994 Pine St, Los Angeles, CA 90001",11.95,17.0,4.0,2019.0
176621,Lightning Charging Cable,1.0,14.95,2019-04-11 16:09:00,"863 8th St, Boston, MA 02215",14.95,11.0,4.0,2019.0
176622,AA Batteries (4-pack),1.0,3.84,2019-04-11 20:16:00,"983 11th St, San Francisco, CA 94016",3.84,11.0,4.0,2019.0
176623,27in FHD Monitor,1.0,149.99,2019-04-20 23:51:00,"807 12th St, Atlanta, GA 30301",149.99,20.0,4.0,2019.0
176624,AA Batteries (4-pack),1.0,3.84,2019-04-28 10:44:00,"664 Church St, Seattle, WA 98101",3.84,28.0,4.0,2019.0
176625,AAA Batteries (4-pack),2.0,2.99,2019-04-24 19:00:00,"858 5th St, San Francisco, CA 94016",5.98,24.0,4.0,2019.0
176626,Bose SoundSport Headphones,1.0,99.99,2019-04-01 21:40:00,"491 Chestnut St, Boston, MA 02215",99.99,1.0,4.0,2019.0
176627,Wired Headphones,1.0,11.99,2019-04-21 14:57:00,"994 13th St, Atlanta, GA 30301",11.99,21.0,4.0,2019.0
176628,Lightning Charging Cable,2.0,14.95,2019-04-15 04:03:00,"628 Wilson St, Dallas, TX 75001",29.9,15.0,4.0,2019.0
176629,USB-C Charging Cable,1.0,11.95,2019-04-24 11:56:00,"101 Lincoln St, San Francisco, CA 94016",11.95,24.0,4.0,2019.0
176630,Google Phone,1.0,600.0,2019-04-10 05:01:00,"770 Maple St, San Francisco, CA 94016",600.0,10.0,4.0,2019.0
176631,USB-C Charging Cable,1.0,11.95,2019-04-13 18:48:00,"292 Dogwood St, San Francisco, CA 94016",11.95,13.0,4.0,2019.0
176632,AAA Batteries (4-pack),1.0,2.99,2019-04-14 14:28:00,"814 Madison St, San Francisco, CA 94016",2.99,14.0,4.0,2019.0
176633,ThinkPad Laptop,1.0,999.99,2019-04-23 14:03:00,"863 Hickory St, Los Angeles, CA 90001",999.99,23.0,4.0,2019.0
176634,Lightning Charging Cable,1.0,14.95,2019-04-10 08:00:00,"311 Madison St, Atlanta, GA 30301",14.95,10.0,4.0,2019.0
176635,Vareebadd Phone,1.0,400.0,2019-04-26 09:55:00,"85 North St, San Francisco, CA 94016",400.0,26.0,4.0,2019.0
176636,AA Batteries (4-pack),1.0,3.84,2019-04-30 20:37:00,"140 10th St, Boston, MA 02215",3.84,30.0,4.0,2019.0
176637,AAA Batteries (4-pack),1.0,2.99,2019-04-17 10:03:00,"261 Sunset St, New York City, NY 10001",2.99,17.0,4.0,2019.0
176638,USB-C Charging Cable,1.0,11.95,2019-04-20 08:33:00,"869 Cherry St, Boston, MA 02215",11.95,20.0,4.0,2019.0
176639,Macbook Pro Laptop,1.0,1700.0,2019-04-28 16:14:00,"853 Cedar St, San Francisco, CA 94016",1700.0,28.0,4.0,2019.0
176640,Wired Headphones,2.0,11.99,2019-04-27 22:54:00,"164 Lake St, San Francisco, CA 94016",23.98,27.0,4.0,2019.0
176641,Lightning Charging Cable,1.0,14.95,2019-04-25 21:36:00,"655 Sunset St, Boston, MA 02215",14.95,25.0,4.0,2019.0
176642,AA Batteries (4-pack),1.0,3.84,2019-04-17 18:38:00,"72 Elm St, Portland, OR 97035",3.84,17.0,4.0,2019.0
176643,Macbook Pro Laptop,1.0,1700.0,2019-04-27 21:32:00,"373 Adams St, Boston, MA 02215",1700.0,27.0,4.0,2019.0
176644,USB-C Charging Cable,1.0,11.95,2019-04-23 02:09:00,"962 7th St, Los Angeles, CA 90001",11.95,23.0,4.0,2019.0
176645,AAA Batteries (4-pack),3.0,2.99,2019-04-26 18:38:00,"514 Lake St, Dallas, TX 75001",8.97,26.0,4.0,2019.0
176646,Macbook Pro Laptop,1.0,1700.0,2019-04-22 07:14:00,"657 Adams St, Portland, OR 97035",1700.0,22.0,4.0,2019.0
176647,Google Phone,1.0,600.0,2019-04-21 19:40:00,"273 South St, Los Angeles, CA 90001",600.0,21.0,4.0,2019.0
176648,27in FHD Monitor,1.0,149.99,2019-04-24 01:17:00,"732 2nd St, Portland, OR 97035",149.99,24.0,4.0,2019.0
176649,USB-C Charging Cable,1.0,11.95,2019-04-09 08:49:00,"702 11th St, San Francisco, CA 94016",11.95,9.0,4.0,2019.0
176650,Lightning Charging Cable,1.0,14.95,2019-04-12 16:47:00,"153 River St, Boston, MA 02215",14.95,12.0,4.0,2019.0
176651,iPhone,1.0,700.0,2019-04-07 13:14:00,"997 South St, Boston, MA 02215",700.0,7.0,4.0,2019.0
176652,LG Washing Machine,1.0,600.0,2019-04-09 20:04:00,"502 14th St, New York City, NY 10001",600.0,9.0,4.0,2019.0
176653,AA Batteries (4-pack),1.0,3.84,2019-04-26 19:20:00,"285 Chestnut St, San Francisco, CA 94016",3.84,26.0,4.0,2019.0
176654,USB-C Charging Cable,1.0,11.95,2019-04-15 19:35:00,"880 Lakeview St, Seattle, WA 98101",11.95,15.0,4.0,2019.0
176655,Apple Airpods Headphones,1.0,150.0,2019-04-11 19:36:00,"848 Center St, San Francisco, CA 94016",150.0,11.0,4.0,2019.0
176656,Google Phone,1.0,600.0,2019-04-12 16:42:00,"12 Lakeview St, New York City, NY 10001",600.0,12.0,4.0,2019.0
176657,ThinkPad Laptop,1.0,999.99,2019-04-23 10:16:00,"774 Forest St, Los Angeles, CA 90001",999.99,23.0,4.0,2019.0
176658,AAA Batteries (4-pack),2.0,2.99,2019-04-22 08:51:00,"573 Pine St, San Francisco, CA 94016",5.98,22.0,4.0,2019.0
176659,20in Monitor,1.0,109.99,2019-04-29 14:40:00,"804 Church St, Dallas, TX 75001",109.99,29.0,4.0,2019.0
176660,AA Batteries (4-pack),1.0,3.84,2019-04-16 17:10:00,"267 West St, Boston, MA 02215",3.84,16.0,4.0,2019.0
176661,Wired Headphones,1.0,11.99,2019-04-25 20:40:00,"522 6th St, Atlanta, GA 30301",11.99,25.0,4.0,2019.0
176662,34in Ultrawide Monitor,1.0,379.99,2019-04-05 12:46:00,"678 Hickory St, Portland, OR 97035",379.99,5.0,4.0,2019.0
176663,Bose SoundSport Headphones,1.0,99.99,2019-04-05 11:48:00,"450 Johnson St, Seattle, WA 98101",99.99,5.0,4.0,2019.0
176664,AAA Batteries (4-pack),1.0,2.99,2019-04-13 18:59:00,"544 Madison St, Los Angeles, CA 90001",2.99,13.0,4.0,2019.0
176665,ThinkPad Laptop,1.0,999.99,2019-04-07 14:15:00,"927 13th St, Dallas, TX 75001",999.99,7.0,4.0,2019.0
176666,Wired Headphones,1.0,11.99,2019-04-08 16:50:00,"382 Forest St, Seattle, WA 98101",11.99,8.0,4.0,2019.0
176667,27in 4K Gaming Monitor,1.0,389.99,2019-04-11 00:39:00,"92 11th St, Los Angeles, CA 90001",389.99,11.0,4.0,2019.0
176668,AA Batteries (4-pack),1.0,3.84,2019-04-15 20:46:00,"56 2nd St, Dallas, TX 75001",3.84,15.0,4.0,2019.0
176669,27in FHD Monitor,1.0,149.99,2019-04-08 12:57:00,"506 Jackson St, Dallas, TX 75001",149.99,8.0,4.0,2019.0
176670,Apple Airpods Headphones,1.0,150.0,2019-04-25 21:23:00,"892 Willow St, San Francisco, CA 94016",150.0,25.0,4.0,2019.0
176671,AAA Batteries (4-pack),2.0,2.99,2019-04-23 16:31:00,"738 Jefferson St, New York City, NY 10001",5.98,23.0,4.0,2019.0
176672,Lightning Charging Cable,1.0,14.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",14.95,12.0,4.0,2019.0
176672,USB-C Charging Cable,1.0,11.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",11.95,12.0,4.0,2019.0
176673,20in Monitor,1.0,109.99,2019-04-10 08:17:00,"952 1st St, Boston, MA 02215",109.99,10.0,4.0,2019.0
176674,AAA Batteries (4-pack),3.0,2.99,2019-04-20 20:53:00,"907 West St, Austin, TX 73301",8.97,20.0,4.0,2019.0
176675,AAA Batteries (4-pack),1.0,2.99,2019-04-02 09:02:00,"933 Meadow St, Seattle, WA 98101",2.99,2.0,4.0,2019.0
176676,LG Dryer,1.0,600.0,2019-04-09 00:35:00,"788 Lincoln St, Los Angeles, CA 90001",600.0,9.0,4.0,2019.0
176677,34in Ultrawide Monitor,1.0,379.99,2019-04-01 11:50:00,"661 Washington St, Austin, TX 73301",379.99,1.0,4.0,2019.0
176678,AA Batteries (4-pack),2.0,3.84,2019-04-19 22:12:00,"345 Sunset St, San Francisco, CA 94016",7.68,19.0,4.0,2019.0
176679,Apple Airpods Headphones,1.0,150.0,2019-04-16 11:12:00,"245 West St, Boston, MA 02215",150.0,16.0,4.0,2019.0
176680,USB-C Charging Cable,1.0,11.95,2019-04-13 11:28:00,"368 Main St, Los Angeles, CA 90001",11.95,13.0,4.0,2019.0
176681,Apple Airpods Headphones,1.0,150.0,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",150.0,20.0,4.0,2019.0
176681,ThinkPad Laptop,1.0,999.99,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",999.99,20.0,4.0,2019.0
176682,Lightning Charging Cable,1.0,14.95,2019-04-27 06:19:00,"593 Adams St, Boston, MA 02215",14.95,27.0,4.0,2019.0
176683,AA Batteries (4-pack),1.0,3.84,2019-04-03 13:54:00,"253 Willow St, Los Angeles, CA 90001",3.84,3.0,4.0,2019.0
176684,USB-C Charging Cable,1.0,11.95,2019-04-17 00:51:00,"293 Washington St, Los Angeles, CA 90001",11.95,17.0,4.0,2019.0
176685,34in Ultrawide Monitor,1.0,379.99,2019-04-23 22:53:00,"114 10th St, New York City, NY 10001",379.99,23.0,4.0,2019.0
176686,Wired Headphones,1.0,11.99,2019-04-17 15:17:00,"892 10th St, Austin, TX 73301",11.99,17.0,4.0,2019.0
176687,Macbook Pro Laptop,1.0,1700.0,2019-04-30 10:26:00,"121 Wilson St, Los Angeles, CA 90001",1700.0,30.0,4.0,2019.0
176688,Flatscreen TV,1.0,300.0,2019-04-20 18:25:00,"229 Church St, San Francisco, CA 94016",300.0,20.0,4.0,2019.0
176689,Bose SoundSport Headphones,1.0,99.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",99.99,24.0,4.0,2019.0
176689,AAA Batteries (4-pack),2.0,2.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",5.98,24.0,4.0,2019.0
176690,20in Monitor,1.0,109.99,2019-04-04 18:33:00,"873 Sunset St, San Francisco, CA 94016",109.99,4.0,4.0,2019.0
176691,AAA Batteries (4-pack),1.0,2.99,2019-04-12 11:57:00,"991 Lincoln St, Los Angeles, CA 90001",2.99,12.0,4.0,2019.0
176692,Wired Headphones,1.0,11.99,2019-04-08 18:21:00,"290 Forest St, San Francisco, CA 94016",11.99,8.0,4.0,2019.0
176693,AA Batteries (4-pack),1.0,3.84,2019-04-22 09:00:00,"252 Walnut St, San Francisco, CA 94016",3.84,22.0,4.0,2019.0
176694,USB-C Charging Cable,1.0,11.95,2019-04-05 20:46:00,"985 Washington St, Atlanta, GA 30301",11.95,5.0,4.0,2019.0
176695,AA Batteries (4-pack),2.0,3.84,2019-04-12 20:50:00,"709 Lake St, Seattle, WA 98101",7.68,12.0,4.0,2019.0
176696,iPhone,1.0,700.0,2019-04-07 12:41:00,"343 Johnson St, New York City, NY 10001",700.0,7.0,4.0,2019.0
176697,Wired Headphones,1.0,11.99,2019-04-20 22:38:00,"675 Center St, New York City, NY 10001",11.99,20.0,4.0,2019.0
176698,Bose SoundSport Headphones,1.0,99.99,2019-04-02 16:15:00,"232 Lakeview St, San Francisco, CA 94016",99.99,2.0,4.0,2019.0
176699,Bose SoundSport Headphones,1.0,99.99,2019-04-28 18:04:00,"49 Jefferson St, Boston, MA 02215",99.99,28.0,4.0,2019.0
176700,34in Ultrawide Monitor,1.0,379.99,2019-04-07 23:10:00,"967 Walnut St, Dallas, TX 75001",379.99,7.0,4.0,2019.0
176701,USB-C Charging Cable,1.0,11.95,2019-04-11 13:05:00,"128 Church St, Austin, TX 73301",11.95,11.0,4.0,2019.0
176702,AA Batteries (4-pack),1.0,3.84,2019-04-23 19:44:00,"896 Sunset St, Seattle, WA 98101",3.84,23.0,4.0,2019.0
176703,20in Monitor,1.0,109.99,2019-04-17 10:00:00,"748 Washington St, New York City, NY 10001",109.99,17.0,4.0,2019.0
176704,AA Batteries (4-pack),2.0,3.84,2019-04-17 10:00:00,"909 Center St, Seattle, WA 98101",7.68,17.0,4.0,2019.0
176705,Lightning Charging Cable,2.0,14.95,2019-04-06 09:38:00,"503 8th St, Austin, TX 73301",29.9,6.0,4.0,2019.0
176706,Lightning Charging Cable,1.0,14.95,2019-04-13 13:32:00,"309 South St, New York City, NY 10001",14.95,13.0,4.0,2019.0
176707,Apple Airpods Headphones,1.0,150.0,2019-04-13 10:34:00,"408 Center St, Portland, OR 97035",150.0,13.0,4.0,2019.0
176708,Wired Headphones,1.0,11.99,2019-04-28 23:03:00,"542 Ridge St, New York City, NY 10001",11.99,28.0,4.0,2019.0
176709,AA Batteries (4-pack),1.0,3.84,2019-04-24 14:17:00,"971 Church St, Dallas, TX 75001",3.84,24.0,4.0,2019.0
176710,20in Monitor,2.0,109.99,2019-04-07 10:00:00,"848 West St, Dallas, TX 75001",219.98,7.0,4.0,2019.0
176711,Flatscreen TV,1.0,300.0,2019-04-30 10:58:00,"796 River St, Dallas, TX 75001",300.0,30.0,4.0,2019.0
176712,Google Phone,1.0,600.0,2019-04-20 05:21:00,"910 Washington St, San Francisco, CA 94016",600.0,20.0,4.0,2019.0
176713,Wired Headphones,1.0,11.99,2019-04-21 10:48:00,"498 Walnut St, San Francisco, CA 94016",11.99,21.0,4.0,2019.0
176714,USB-C Charging Cable,1.0,11.95,2019-04-26 23:34:00,"303 Spruce St, Los Angeles, CA 90001",11.95,26.0,4.0,2019.0
176715,Apple Airpods Headphones,1.0,150.0,2019-04-27 16:43:00,"258 Jefferson St, San Francisco, CA 94016",150.0,27.0,4.0,2019.0
176716,Wired Headphones,1.0,11.99,2019-04-24 14:43:00,"794 7th St, Los Angeles, CA 90001",11.99,24.0,4.0,2019.0
176717,Apple Airpods Headphones,1.0,150.0,2019-04-19 10:34:00,"490 Lakeview St, Atlanta, GA 30301",150.0,19.0,4.0,2019.0
176718,Lightning Charging Cable,1.0,14.95,2019-04-22 19:14:00,"672 Sunset St, Los Angeles, CA 90001",14.95,22.0,4.0,2019.0
176719,Flatscreen TV,1.0,300.0,2019-04-27 13:07:00,"602 Hickory St, Boston, MA 02215",300.0,27.0,4.0,2019.0
176720,Lightning Charging Cable,1.0,14.95,2019-04-21 10:35:00,"556 South St, Portland, OR 97035",14.95,21.0,4.0,2019.0
176721,AAA Batteries (4-pack),1.0,2.99,2019-04-26 21:08:00,"469 7th St, San Francisco, CA 94016",2.99,26.0,4.0,2019.0
176722,27in 4K Gaming Monitor,1.0,389.99,2019-04-01 10:57:00,"209 14th St, New York City, NY 10001",389.99,1.0,4.0,2019.0
176723,27in 4K Gaming Monitor,1.0,389.99,2019-04-19 21:31:00,"613 12th St, Portland, OR 97035",389.99,19.0,4.0,2019.0
176724,Lightning Charging Cable,1.0,14.95,2019-04-26 20:59:00,"34 12th St, San Francisco, CA 94016",14.95,26.0,4.0,2019.0
176725,AA Batteries (4-pack),2.0,3.84,2019-04-15 14:33:00,"630 14th St, San Francisco, CA 94016",7.68,15.0,4.0,2019.0
176726,USB-C Charging Cable,1.0,11.95,2019-04-13 18:14:00,"979 8th St, Los Angeles, CA 90001",11.95,13.0,4.0,2019.0
176727,Lightning Charging Cable,1.0,14.95,2019-04-14 14:26:00,"218 Hickory St, Los Angeles, CA 90001",14.95,14.0,4.0,2019.0
176728,Lightning Charging Cable,1.0,14.95,2019-04-21 07:38:00,"516 Park St, Atlanta, GA 30301",14.95,21.0,4.0,2019.0
176729,USB-C Charging Cable,1.0,11.95,2019-04-24 09:57:00,"637 9th St, Seattle, WA 98101",11.95,24.0,4.0,2019.0
176730,Bose SoundSport Headphones,1.0,99.99,2019-04-17 08:27:00,"403 Ridge St, New York City, NY 10001",99.99,17.0,4.0,2019.0
176731,AAA Batteries (4-pack),2.0,2.99,2019-04-21 16:17:00,"36 Lincoln St, San Francisco, CA 94016",5.98,21.0,4.0,2019.0
176732,iPhone,1.0,700.0,2019-04-23 09:33:00,"504 Wilson St, Dallas, TX 75001",700.0,23.0,4.0,2019.0
176733,20in Monitor,1.0,109.99,2019-04-11 13:31:00,"575 Hickory St, San Francisco, CA 94016",109.99,11.0,4.0,2019.0
176734,Apple Airpods Headphones,1.0,150.0,2019-04-03 22:13:00,"611 Jackson St, New York City, NY 10001",150.0,3.0,4.0,2019.0
176735,27in FHD Monitor,1.0,149.99,2019-04-16 23:52:00,"802 Ridge St, Austin, TX 73301",149.99,16.0,4.0,2019.0
176736,AA Batteries (4-pack),1.0,3.84,2019-04-17 11:48:00,"421 2nd St, Los Angeles, CA 90001",3.84,17.0,4.0,2019.0
176737,Apple Airpods Headphones,1.0,150.0,2019-04-07 01:28:00,"109 Center St, Los Angeles, CA 90001",150.0,7.0,4.0,2019.0
176738,AA Batteries (4-pack),1.0,3.84,2019-04-03 13:17:00,"661 Center St, San Francisco, CA 94016",3.84,3.0,4.0,2019.0
176739,34in Ultrawide Monitor,1.0,379.99,2019-04-05 17:38:00,"730 6th St, Austin, TX 73301",379.99,5.0,4.0,2019.0
176739,Google Phone,1.0,600.0,2019-04-05 17:38:00,"730 6th St, Austin, TX 73301",600.0,5.0,4.0,2019.0
176740,Bose SoundSport Headphones,1.0,99.99,2019-04-24 15:10:00,"699 Washington St, Dallas, TX 75001",99.99,24.0,4.0,2019.0
176741,USB-C Charging Cable,1.0,11.95,2019-04-29 18:49:00,"990 Ridge St, San Francisco, CA 94016",11.95,29.0,4.0,2019.0
176742,Wired Headphones,1.0,11.99,2019-04-17 09:54:00,"115 Forest St, Los Angeles, CA 90001",11.99,17.0,4.0,2019.0
176743,27in 4K Gaming Monitor,1.0,389.99,2019-04-01 09:17:00,"570 11th St, Atlanta, GA 30301",389.99,1.0,4.0,2019.0
176744,Lightning Charging Cable,1.0,14.95,2019-04-14 19:59:00,"937 Maple St, Los Angeles, CA 90001",14.95,14.0,4.0,2019.0
